open,high,low,close,volume,vwap,timestamp,transactions,otc
282.09,284.95,278.72,281.77,26611014.0,281.7132,2023-04-24 04:00:00,420683,
279.51,281.6,275.37,275.42,45759736.0,280.4904,2023-04-25 04:00:00,616117,
296.7,299.57,292.73,295.37,64542982.0,296.0297,2023-04-26 04:00:00,870311,
295.97,305.2,295.25,304.83,46462608.0,302.55,2023-04-27 04:00:00,650723,
304.01,308.93,303.31,307.26,36469613.0,306.256,2023-04-28 04:00:00,496688,
306.97,308.6,305.15,305.56,21267115.0,306.615,2023-05-01 04:00:00,316909,
307.76,309.18,303.91,305.41,26404431.0,306.093,2023-05-02 04:00:00,393439,
306.62,308.61,304.09,304.4,22360754.0,305.7745,2023-05-03 04:00:00,352104,
306.24,307.7626,303.4,305.41,22519907.0,305.777,2023-05-04 04:00:00,311224,
305.72,311.97,304.27,310.65,28196052.0,309.5482,2023-05-05 04:00:00,381026,
310.13,310.2,306.09,308.65,21308813.0,308.0936,2023-05-08 04:00:00,335929,
308.0,310.04,306.31,307.0,21340829.0,307.7179,2023-05-09 04:00:00,299950,
308.62,313.0,307.67,312.31,30078044.0,310.9026,2023-05-10 04:00:00,398456,
310.1,311.12,306.2601,310.11,31680179.0,309.3559,2023-05-11 04:00:00,381620,
310.55,310.65,306.6,308.97,19672946.0,308.1878,2023-05-12 04:00:00,298800,
309.095,309.905,307.59,309.46,16336547.0,309.0666,2023-05-15 04:00:00,269983,
309.83,313.71,309.83,311.74,25680347.0,312.432,2023-05-16 04:00:00,352425,
312.29,314.43,310.74,314.0,24315012.0,313.0997,2023-05-17 04:00:00,308657,
314.53,319.04,313.72,318.52,27275991.0,317.1105,2023-05-18 04:00:00,386415,
316.74,318.75,316.37,318.34,27543551.0,317.8475,2023-05-19 04:00:00,325653,
318.6,322.59,318.01,321.18,24115664.0,320.8507,2023-05-22 04:00:00,342361,
320.03,322.72,315.25,315.26,30797173.0,317.7116,2023-05-23 04:00:00,430792,
314.73,316.5,312.61,313.85,23384887.0,314.2333,2023-05-24 04:00:00,353391,
323.24,326.9,320.0,325.92,43205743.0,324.1808,2023-05-25 04:00:00,549354,
324.02,333.4,323.88,332.89,36630633.0,330.8431,2023-05-26 04:00:00,509702,
