open,high,low,close,volume,vwap,timestamp,transactions,otc
106.05,107.32,105.36,106.78,21410908.0,106.6004,2023-04-24 04:00:00,203066,
106.61,107.44,104.56,104.61,31405059.0,106.0205,2023-04-25 04:00:00,320039,
105.56,107.02,103.27,104.45,37027268.0,105.045,2023-04-26 04:00:00,396580,
105.23,109.15,104.42,108.37,38230420.0,107.9371,2023-04-27 04:00:00,348389,
107.8,108.29,106.04,108.22,23957872.0,107.5516,2023-04-28 04:00:00,227071,
107.72,108.68,107.5,107.71,20926259.0,107.9752,2023-05-01 04:00:00,194984,
107.66,107.73,104.5,105.98,20343116.0,106.0089,2023-05-02 04:00:00,211076,
106.22,108.13,105.62,106.12,17116333.0,106.592,2023-05-03 04:00:00,198128,
106.16,106.3,104.7,105.21,19780637.0,105.4847,2023-05-04 04:00:00,246918,
105.32,106.44,104.7386,106.215,20710627.0,105.7624,2023-05-05 04:00:00,216693,
105.795,108.42,105.79,108.24,17266021.0,107.6016,2023-05-08 04:00:00,195916,
108.78,110.595,107.725,107.94,24782442.0,108.9356,2023-05-09 04:00:00,290070,
108.55,113.51,108.48,112.28,47521463.0,111.0469,2023-05-10 04:00:00,553267,
115.86,118.44,114.9301,116.9,57114613.0,117.2496,2023-05-11 04:00:00,681159,
117.0,118.26,116.55,117.92,31293778.0,117.4618,2023-05-12 04:00:00,349221,
116.49,118.795,116.48,116.96,22107865.0,117.3948,2023-05-15 04:00:00,299114,
116.83,121.2,116.83,120.09,32370113.0,119.7844,2023-05-16 04:00:00,370876,
120.18,122.28,119.46,121.48,26659564.0,120.9044,2023-05-17 04:00:00,288047,
121.56,123.9,121.49,123.52,27014468.0,122.9645,2023-05-18 04:00:00,322016,
124.2,126.479,122.72,123.25,30268864.0,123.8659,2023-05-19 04:00:00,364383,
123.51,127.05,123.45,125.87,29760236.0,125.9081,2023-05-22 04:00:00,330978,
124.93,125.42,123.05,123.29,24477945.0,124.099,2023-05-23 04:00:00,265238,
121.88,122.7499,120.75,121.64,23087925.0,121.7088,2023-05-24 04:00:00,263225,
125.21,125.98,122.9,124.35,33812730.0,124.4922,2023-05-25 04:00:00,357967,
124.065,126.0,123.29,125.43,25169036.0,125.1676,2023-05-26 04:00:00,245416,
126.29,126.38,122.89,124.64,27230726.0,124.529,2023-05-30 04:00:00,329777,
123.7,124.9,123.1,123.37,41548759.0,123.6419,2023-05-31 04:00:00,279493,
123.5,125.04,123.3,124.37,25017674.0,124.0531,2023-06-01 04:00:00,247877,
124.49,126.745,124.35,125.23,19367453.0,125.3646,2023-06-02 04:00:00,207794,
124.61,127.99,124.38,126.63,22672516.0,126.7919,2023-06-05 04:00:00,256609,
126.6,128.88,125.97,127.91,19450128.0,127.848,2023-06-06 04:00:00,220928,
127.575,129.55,122.63,122.94,34179348.0,124.2895,2023-06-07 04:00:00,298179,
122.585,123.73,122.01,122.67,24814996.0,122.7692,2023-06-08 04:00:00,255128,
122.56,124.285,122.42,122.87,20313676.0,123.2914,2023-06-09 04:00:00,209979,
123.395,124.75,122.35,124.35,22289632.0,123.6092,2023-06-12 04:00:00,208649,
125.65,125.86,123.845,124.43,19287650.0,124.6652,2023-06-13 04:00:00,207651,
123.8,124.79,122.16,124.38,24659620.0,123.8195,2023-06-14 04:00:00,256810,
123.88,126.16,123.14,125.79,24517071.0,124.9852,2023-06-15 04:00:00,224598,
126.7,126.7,123.79,124.06,56599200.0,124.6765,2023-06-16 04:00:00,236937,
123.535,125.175,122.83,123.85,22695528.0,123.8062,2023-06-20 04:00:00,208425,
123.235,123.41,120.86,121.26,22612002.0,121.6918,2023-06-21 04:00:00,212448,
120.66,123.935,119.6,123.87,20781888.0,122.3027,2023-06-22 04:00:00,218659,
122.04,123.44,121.86,123.02,29573123.0,122.8786,2023-06-23 04:00:00,214282,
121.4656,122.72,118.99,119.09,22822391.0,120.2248,2023-06-26 04:00:00,236245,
117.84,119.895,116.91,119.01,27222215.0,118.7017,2023-06-27 04:00:00,271095,
117.96,121.27,117.6,121.08,19753145.0,120.2944,2023-06-28 04:00:00,216992,
120.09,120.91,119.21,120.01,18517458.0,119.9927,2023-06-29 04:00:00,190231,
121.1,122.03,120.88,120.97,23871764.0,121.3002,2023-06-30 04:00:00,222377,
120.32,121.02,119.705,120.56,13888262.0,120.374,2023-07-03 04:00:00,150617,
120.06,123.37,120.06,122.63,17830347.0,122.4443,2023-07-05 04:00:00,205078,
120.64,121.1499,119.2499,120.93,17750181.0,120.4417,2023-07-06 04:00:00,192930,
120.89,121.75,120.09,120.14,20997665.0,120.8863,2023-07-07 04:00:00,202568,
119.07,119.07,116.64,116.87,32960078.0,117.3323,2023-07-10 04:00:00,331959,
116.76,118.225,115.83,117.71,18286571.0,117.43,2023-07-11 04:00:00,196623,
119.3,120.96,119.0,119.62,22059611.0,119.8107,2023-07-12 04:00:00,215311,
121.54,125.335,121.06,124.83,31535853.0,124.3071,2023-07-13 04:00:00,300457,
125.13,127.09,124.9,125.7,20499780.0,125.7791,2023-07-14 04:00:00,223959,
126.06,127.28,124.5,125.06,20675297.0,125.3239,2023-07-17 04:00:00,208573,
124.905,124.99,123.3,124.08,21071248.0,123.9981,2023-07-18 04:00:00,200319,
124.79,125.47,122.47,122.78,22313803.0,123.5633,2023-07-19 04:00:00,248385,
122.12,124.7,118.685,119.53,27541711.0,120.8341,2023-07-20 04:00:00,295346,
120.87,121.3,119.07,120.31,56474645.0,120.2407,2023-07-21 04:00:00,265113,
121.926,123.35,121.38,121.88,22312092.0,122.1357,2023-07-24 04:00:00,232765,
121.88,123.69,121.53,122.79,31820846.0,124.0628,2023-07-25 04:00:00,343143,
130.36,131.37,128.71,129.66,46216895.0,129.9937,2023-07-26 04:00:00,468415,
131.8,133.6,129.18,129.87,35931612.0,131.5584,2023-07-27 04:00:00,351280,
130.97,134.07,130.92,133.01,26971011.0,133.014,2023-07-28 04:00:00,259817,
133.01,133.83,132.13,133.11,18381891.0,132.9153,2023-07-31 04:00:00,197858,
130.855,132.92,130.75,131.89,22219012.0,131.8788,2023-08-01 04:00:00,237574,
129.84,130.42,127.85,128.64,22705778.0,128.9444,2023-08-02 04:00:00,241906,
128.37,129.77,127.775,128.77,15086132.0,128.8553,2023-08-03 04:00:00,174081,
129.6,131.93,128.315,128.54,20521852.0,129.7949,2023-08-04 04:00:00,245418,
129.51,132.06,129.43,131.94,17621041.0,131.1171,2023-08-07 04:00:00,202129,
130.98,131.94,130.13,131.84,16835952.0,131.3725,2023-08-08 04:00:00,186233,
132.19,132.47,129.505,130.15,17745218.0,130.8519,2023-08-09 04:00:00,186475,
131.97,132.647,130.035,130.21,17855681.0,131.0634,2023-08-10 04:00:00,204029,
129.202,130.44,128.75,130.17,15205465.0,129.7561,2023-08-11 04:00:00,183702,
129.85,131.91,129.59,131.83,17526195.0,131.3438,2023-08-14 04:00:00,168174,
131.59,131.99,129.819,130.27,14769173.0,130.7511,2023-08-15 04:00:00,175597,
129.28,130.8975,128.46,129.11,17548355.0,129.404,2023-08-16 04:00:00,210996,
130.45,132.4913,129.85,130.46,23665562.0,130.9301,2023-08-17 04:00:00,257932,
129.06,129.83,127.0,128.11,23627196.0,128.0749,2023-08-18 04:00:00,259950,
127.85,129.26,127.16,128.93,21851070.0,128.5364,2023-08-21 04:00:00,200445,
129.13,130.95,128.925,129.69,15569373.0,129.8682,2023-08-22 04:00:00,172795,
130.85,134.07,130.51,133.21,26497027.0,133.2082,2023-08-23 04:00:00,259717,
134.7272,134.97,130.3,130.42,18680381.0,131.8825,2023-08-24 04:00:00,206694,
130.14,131.4,128.04,130.69,20678096.0,129.9131,2023-08-25 04:00:00,232375,
132.08,133.24,130.85,131.79,16715467.0,131.765,2023-08-28 04:00:00,201956,
132.9981,137.295,132.98,135.49,30803265.0,135.2967,2023-08-29 04:00:00,306213,
135.57,137.25,135.021,136.93,21773356.0,136.457,2023-08-30 04:00:00,218608,
137.05,138.4,136.82,137.35,28147850.0,137.7219,2023-08-31 04:00:00,274470,
138.43,138.58,135.94,136.8,16671647.0,136.8128,2023-09-01 04:00:00,207752,
136.44,137.37,135.56,136.71,17730218.0,136.5011,2023-09-05 04:00:00,216597,
137.015,137.48,134.69,135.37,15814327.0,135.6799,2023-09-06 04:00:00,195632,
134.6,136.58,133.9601,136.2,16867956.0,135.7688,2023-09-07 04:00:00,207158,
135.87,137.515,135.87,137.2,17820005.0,136.9627,2023-09-08 04:00:00,207466,
137.38,138.2638,136.55,137.74,17145755.0,137.517,2023-09-11 04:00:00,188818,
137.13,137.64,135.93,136.07,15212934.0,136.5448,2023-09-12 04:00:00,192777,
135.9,137.7,134.93,137.5,16394915.0,136.6791,2023-09-13 04:00:00,210260,
138.39,139.55,137.06,138.99,19064607.0,138.723,2023-09-14 04:00:00,206522,
138.8,139.36,137.18,138.3,48958837.0,138.2444,2023-09-15 04:00:00,266140,
137.63,139.93,137.63,138.96,16233590.0,139.1326,2023-09-18 04:00:00,195812,
138.25,139.175,137.5,138.83,15484644.0,138.5037,2023-09-19 04:00:00,172974,
138.83,138.84,134.52,134.59,21473533.0,136.1771,2023-09-20 04:00:00,230482,
132.39,133.19,131.09,131.36,22058375.0,131.9425,2023-09-21 04:00:00,261970,
131.68,133.01,130.51,131.25,17355284.0,131.8237,2023-09-22 04:00:00,193334,
130.77,132.22,130.03,132.17,14650032.0,131.5913,2023-09-25 04:00:00,177785,
130.914,131.405,128.19,129.45,20374469.0,129.2317,2023-09-26 04:00:00,232737,
129.44,131.72,129.38,131.46,18764201.0,130.6948,2023-09-27 04:00:00,205892,
130.69,134.1799,130.69,133.13,18201389.0,132.7377,2023-09-28 04:00:00,213567,
134.08,134.89,131.32,131.85,23237336.0,132.5801,2023-09-29 04:00:00,231542,
132.155,135.36,132.065,135.17,19210394.0,134.3212,2023-10-02 04:00:00,231589,
134.93,135.24,132.815,133.3,19628736.0,133.5837,2023-10-03 04:00:00,226649,
133.66,136.57,133.43,136.27,22847987.0,135.5046,2023-10-04 04:00:00,259108,
136.13,136.5,134.455,135.99,15912704.0,135.753,2023-10-05 04:00:00,184536,
134.94,139.1857,134.94,138.73,20824883.0,137.9547,2023-10-06 04:00:00,233145,
137.99,139.97,136.7,139.5,16599099.0,138.858,2023-10-09 04:00:00,174651,
139.51,140.74,138.43,139.2,19554916.0,139.6351,2023-10-10 04:00:00,217095,
139.85,142.22,139.84,141.7,20146341.0,141.3665,2023-10-11 04:00:00,207111,
142.16,142.38,139.45,140.29,18173107.0,140.9779,2023-10-12 04:00:00,202907,
140.65,141.34,137.97,138.58,19447565.0,139.0809,2023-10-13 04:00:00,215716,
139.73,140.905,139.32,140.49,17345556.0,140.2975,2023-10-16 04:00:00,193266,
140.03,141.25,138.5287,140.99,17424024.0,140.4298,2023-10-17 04:00:00,198780,
140.75,141.99,138.705,139.28,18304869.0,140.3154,2023-10-18 04:00:00,217938,
139.8,141.005,138.6,138.98,21831181.0,139.6785,2023-10-19 04:00:00,268880,
138.59,139.04,136.245,136.74,24970263.0,137.2998,2023-10-20 04:00:00,247090,
136.23,139.02,135.11,137.9,20740665.0,137.7627,2023-10-23 04:00:00,230248,
139.16,140.7099,138.75,140.12,26315198.0,139.007,2023-10-24 04:00:00,304931,
129.77,130.1,126.09,126.67,58796067.0,127.5346,2023-10-25 04:00:00,717207,
124.47,125.46,122.32,123.44,33907363.0,123.6603,2023-10-26 04:00:00,376878,
124.03,124.44,121.46,123.4,37277673.0,123.0081,2023-10-27 04:00:00,351894,
124.46,126.55,123.88,125.75,24165658.0,125.6564,2023-10-30 04:00:00,263519,
126.27,126.56,123.925,125.3,21123418.0,125.0398,2023-10-31 04:00:00,234049,
125.34,127.74,124.925,127.57,26536604.0,126.7511,2023-11-01 04:00:00,268075,
129.56,130.09,128.11,128.58,24091672.0,128.7671,2023-11-02 04:00:00,235159,
129.09,130.73,129.01,130.37,19529448.0,130.1117,2023-11-03 04:00:00,218705,
130.22,131.56,129.93,131.45,15260362.0,130.9959,2023-11-06 05:00:00,165624,
131.98,133.28,131.14,132.4,19223786.0,132.4604,2023-11-07 05:00:00,190771,
132.36,133.54,132.16,133.26,15093598.0,132.908,2023-11-08 05:00:00,163963,
133.36,133.96,131.51,131.69,17776533.0,132.4159,2023-11-09 05:00:00,186512,
131.53,134.27,130.87,134.06,20879838.0,133.1589,2023-11-10 05:00:00,198944,
133.36,134.11,132.77,133.64,16409856.0,133.626,2023-11-13 05:00:00,159519,
135.65,137.24,135.1,135.43,22317345.0,135.9191,2023-11-14 05:00:00,238701,
136.64,136.84,135.33,136.38,15840883.0,136.106,2023-11-15 05:00:00,175172,
136.96,138.8799,136.08,138.7,17615068.0,138.1613,2023-11-16 05:00:00,204772,
137.82,138.0,135.48,136.94,25531191.0,136.6774,2023-11-17 05:00:00,276268,
135.5,138.425,135.49,137.92,19589006.0,137.5696,2023-11-20 05:00:00,212277,
137.94,138.965,137.705,138.62,17648067.0,138.3522,2023-11-21 05:00:00,180103,
139.1,141.1,139.0,140.02,17310209.0,140.0762,2023-11-22 05:00:00,189637,
139.54,139.677,137.47,138.22,8736640.0,138.2847,2023-11-24 05:00:00,98746,
137.57,139.63,137.54,138.05,17886389.0,138.2066,2023-11-27 05:00:00,188060,
137.63,138.66,137.04,138.62,16686868.0,138.1079,2023-11-28 05:00:00,162207,
138.985,139.67,136.295,136.4,21014715.0,137.1758,2023-11-29 05:00:00,215955,
