open,high,low,close,volume,vwap,timestamp,transactions,otc
165.0,165.6,163.89,165.33,41449581.0,164.9397,2023-04-24 04:00:00,459499,
165.19,166.305,163.73,163.77,48652863.0,164.6479,2023-04-25 04:00:00,501548,
163.055,165.28,162.8,163.76,45487296.0,163.9084,2023-04-26 04:00:00,493403,
165.19,168.56,165.19,168.41,64898729.0,167.3197,2023-04-27 04:00:00,575981,
168.49,169.85,167.8801,169.68,55275851.0,168.9479,2023-04-28 04:00:00,527763,
169.28,170.45,168.64,169.59,52424936.0,169.6586,2023-05-01 04:00:00,540745,
170.09,170.35,167.54,168.54,48425696.0,168.6978,2023-05-02 04:00:00,509755,
169.5,170.92,167.16,167.45,65126998.0,169.013,2023-05-03 04:00:00,610052,
164.89,167.04,164.31,165.79,81225673.0,166.0983,2023-05-04 04:00:00,832121,
170.975,174.3,170.76,173.57,113402971.0,173.3116,2023-05-05 04:00:00,915977,
172.48,173.85,172.11,173.5,55962634.0,173.321,2023-05-08 04:00:00,563138,
173.05,173.54,171.6,171.77,45326874.0,172.3162,2023-05-09 04:00:00,456209,
173.02,174.03,171.9,173.555,53724501.0,173.1737,2023-05-10 04:00:00,511486,
173.85,174.59,172.17,173.75,49473076.0,173.4903,2023-05-11 04:00:00,501955,
173.62,174.06,171.0,172.57,45533138.0,172.3696,2023-05-12 04:00:00,490533,
173.16,173.21,171.47,172.07,37264259.0,172.1109,2023-05-15 04:00:00,444785,
171.99,173.1383,171.7991,172.07,42110293.0,172.2781,2023-05-16 04:00:00,436165,
171.71,172.925,170.4201,172.69,57934404.0,171.85,2023-05-17 04:00:00,554940,
173.0,175.24,172.58,175.05,65496657.0,174.3014,2023-05-18 04:00:00,595692,
176.39,176.39,174.94,175.16,55525641.0,175.5191,2023-05-19 04:00:00,532731,
173.98,174.71,173.45,174.2,43570932.0,174.1828,2023-05-22 04:00:00,526393,
173.13,173.3794,171.275,171.56,50745163.0,172.1908,2023-05-23 04:00:00,535091,
171.09,172.4183,170.52,171.84,43711588.0,171.5088,2023-05-24 04:00:00,492275,
172.41,173.895,171.69,172.99,55889523.0,172.8818,2023-05-25 04:00:00,534909,
173.32,175.77,173.11,175.43,54834975.0,175.1454,2023-05-26 04:00:00,529918,
176.96,178.99,176.57,177.3,55963954.0,177.4489,2023-05-30 04:00:00,651318,
177.325,179.35,176.76,177.25,99625288.0,177.9376,2023-05-31 04:00:00,669221,
177.7,180.12,176.9306,180.09,68901712.0,179.3796,2023-06-01 04:00:00,624132,
181.03,181.78,179.26,180.95,61996852.0,180.6479,2023-06-02 04:00:00,617235,
182.63,184.951,178.035,179.58,121722517.0,182.1408,2023-06-05 04:00:00,1286180,
179.965,180.12,177.43,179.21,64845314.0,178.7093,2023-06-06 04:00:00,705164,
178.44,181.21,177.32,177.82,61944615.0,178.6619,2023-06-07 04:00:00,669062,
177.895,180.84,177.46,180.57,50210681.0,179.5493,2023-06-08 04:00:00,548456,
181.5,182.23,180.63,180.96,48869360.0,181.4395,2023-06-09 04:00:00,557894,
181.27,183.89,180.97,183.79,54754995.0,182.836,2023-06-12 04:00:00,562058,
182.8,184.15,182.44,183.31,54867129.0,183.1702,2023-06-13 04:00:00,608337,
183.37,184.39,182.02,183.95,57462782.0,183.7101,2023-06-14 04:00:00,614097,
183.96,186.52,183.78,186.01,65433166.0,185.5672,2023-06-15 04:00:00,697003,
186.73,186.99,184.27,184.92,101151225.0,185.4644,2023-06-16 04:00:00,616272,
184.41,186.1,184.41,185.01,49799092.0,185.2709,2023-06-20 04:00:00,577495,
184.9,185.41,182.5901,183.96,49515697.0,184.0809,2023-06-21 04:00:00,520855,
183.74,187.045,183.67,187.0,51245327.0,186.1166,2023-06-22 04:00:00,563076,
185.55,187.56,185.01,186.68,53112346.0,186.4952,2023-06-23 04:00:00,539704,
186.83,188.05,185.23,185.27,48088661.0,186.3292,2023-06-26 04:00:00,584497,
185.89,188.39,185.67,188.06,50731499.0,187.4998,2023-06-27 04:00:00,511869,
187.93,189.9,187.6,189.25,51216801.0,188.8916,2023-06-28 04:00:00,559145,
189.08,190.07,188.94,189.59,46347308.0,189.5561,2023-06-29 04:00:00,525367,
191.63,194.48,191.26,193.97,85068452.0,193.102,2023-06-30 04:00:00,774380,
193.78,193.88,191.76,192.46,31458198.0,192.6624,2023-07-03 04:00:00,500175,
191.565,192.98,190.62,191.33,46896861.0,191.5803,2023-07-05 04:00:00,560170,
189.84,192.02,189.2,191.81,45155523.0,190.8214,2023-07-06 04:00:00,562755,
191.41,192.67,190.24,190.68,46757498.0,191.4218,2023-07-07 04:00:00,538826,
189.26,189.99,187.035,188.61,59912163.0,188.3628,2023-07-10 04:00:00,736912,
189.16,189.3,186.6,188.08,46638119.0,187.8219,2023-07-11 04:00:00,577717,
189.68,191.7,188.47,189.77,60750218.0,189.9586,2023-07-12 04:00:00,652126,
190.5,191.19,189.78,190.54,41337338.0,190.565,2023-07-13 04:00:00,467952,
190.23,191.1799,189.63,190.69,41616242.0,190.4662,2023-07-14 04:00:00,513233,
191.9,194.32,191.81,193.99,50520159.0,193.2997,2023-07-17 04:00:00,602852,
193.35,194.33,192.415,193.73,48153774.0,193.3846,2023-07-18 04:00:00,544605,
193.1,198.23,192.65,195.1,80492323.0,194.9188,2023-07-19 04:00:00,776766,
195.09,196.47,192.495,193.13,59581196.0,194.276,2023-07-20 04:00:00,639817,
194.1,194.97,191.23,191.94,71451683.0,192.5948,2023-07-21 04:00:00,580360,
193.41,194.91,192.25,192.75,45507451.0,193.2011,2023-07-24 04:00:00,525855,
193.33,194.44,192.915,193.62,37283201.0,193.804,2023-07-25 04:00:00,445394,
193.67,195.64,193.32,194.5,47471868.0,194.3737,2023-07-26 04:00:00,502309,
196.02,197.2,192.55,193.22,47439680.0,194.8773,2023-07-27 04:00:00,570472,
194.67,196.626,194.14,195.83,47691443.0,195.8075,2023-07-28 04:00:00,519151,
196.06,196.49,195.26,196.45,38824113.0,196.1507,2023-07-31 04:00:00,530506,
196.235,196.73,195.28,195.605,35281426.0,195.8486,2023-08-01 04:00:00,477616,
195.04,195.18,191.8507,192.58,50388811.0,192.9395,2023-08-02 04:00:00,620582,
191.57,192.37,190.69,191.17,62243282.0,191.1312,2023-08-03 04:00:00,754703,
185.52,187.38,181.92,181.99,115956841.0,184.279,2023-08-04 04:00:00,1336765,
182.13,183.13,177.35,178.85,97105069.0,179.0119,2023-08-07 04:00:00,1159281,
179.69,180.27,177.58,179.8,67769003.0,178.9854,2023-08-08 04:00:00,709019,
180.87,180.93,177.01,178.19,60303492.0,178.4887,2023-08-09 04:00:00,666112,
179.48,180.75,177.6,177.97,54686851.0,178.7951,2023-08-10 04:00:00,652995,
177.32,178.62,176.55,177.79,51036672.0,177.8056,2023-08-11 04:00:00,586481,
177.97,179.69,177.305,179.46,43675627.0,178.9475,2023-08-14 04:00:00,564982,
178.88,179.48,177.05,177.45,43574863.0,177.9886,2023-08-15 04:00:00,510071,
177.13,178.54,176.5,176.57,45712957.0,177.4133,2023-08-16 04:00:00,526074,
177.14,177.5054,173.48,174.0,66054482.0,174.5857,2023-08-17 04:00:00,673083,
172.3,175.1,171.96,174.49,60171878.0,173.8904,2023-08-18 04:00:00,596474,
175.07,176.13,173.735,175.84,46161959.0,175.2221,2023-08-21 04:00:00,559658,
177.06,177.68,176.25,177.23,42057245.0,177.0098,2023-08-22 04:00:00,501508,
178.52,181.55,178.325,181.12,52722752.0,180.6482,2023-08-23 04:00:00,587165,
180.674,181.104,176.01,176.38,54912798.0,177.7035,2023-08-24 04:00:00,610377,
177.38,179.15,175.82,178.61,51439994.0,177.9075,2023-08-25 04:00:00,554789,
180.09,180.59,178.545,180.19,43803238.0,179.6595,2023-08-28 04:00:00,532485,
179.695,184.9,179.5,184.12,52953948.0,183.28,2023-08-29 04:00:00,576465,
184.94,187.85,184.74,187.65,60803988.0,186.93,2023-08-30 04:00:00,636448,
187.84,189.12,187.48,187.87,60794467.0,188.1489,2023-08-31 04:00:00,554869,
189.485,189.92,188.28,189.46,45393903.0,189.0424,2023-09-01 04:00:00,530273,
188.28,189.98,187.61,189.7,45280027.0,189.1084,2023-09-05 04:00:00,602458,
188.4,188.85,181.47,182.91,81753366.0,183.786,2023-09-06 04:00:00,880106,
175.18,178.21,173.54,177.56,112416703.0,176.7332,2023-09-07 04:00:00,1210080,
178.35,180.239,177.79,178.18,65402066.0,179.0663,2023-09-08 04:00:00,755389,
180.07,180.3,177.34,179.36,58953052.0,178.8465,2023-09-11 04:00:00,722430,
179.49,180.13,174.82,176.3,90316192.0,176.7048,2023-09-12 04:00:00,937419,
176.51,177.3,173.98,174.21,84267928.0,175.0352,2023-09-13 04:00:00,835150,
174.0,176.1,173.58,175.74,60345757.0,175.3715,2023-09-14 04:00:00,641017,
176.48,176.495,173.82,175.01,109259461.0,175.0843,2023-09-15 04:00:00,729794,
176.48,179.38,176.17,177.97,67257573.0,177.8915,2023-09-18 04:00:00,731278,
177.52,179.63,177.13,179.07,51826941.0,178.4293,2023-09-19 04:00:00,524402,
179.26,179.695,175.4,175.49,58436181.0,176.9653,2023-09-20 04:00:00,600225,
174.55,176.3,173.86,173.93,62449116.0,174.8619,2023-09-21 04:00:00,631478,
174.67,177.079,174.05,174.79,56688985.0,175.4667,2023-09-22 04:00:00,606168,
174.2,176.97,174.15,176.08,46172740.0,175.6665,2023-09-25 04:00:00,564218,
174.82,175.2,171.66,171.96,64548945.0,172.7156,2023-09-26 04:00:00,688340,
172.62,173.04,169.05,170.43,66920708.0,170.5335,2023-09-27 04:00:00,707850,
